Dia,Hora,HoraFin,Clase,Maestro
Lunes,8:45 am,10:00 am,Alineación Restaurativo,Karuna Aguilar
Lunes,7:00 pm,8:00 pm,Ashtanga Yoga,Paco Zatarain
Martes,7:30 am,8:30 am,Ashtanga Yoga,Alu Segovia
Martes,8:45 am,10:00 am,Alineación Restaurativo,Karuna Aguilar
Martes,7:00 pm,8:00 pm,Alineación Restaurativo,Pao Martínez
Miércoles,7:00 pm,8:00 pm,Ashtanga Yoga,Paco Zatarain
Jueves,7:30 am,8:30 am,Vinyasa Yoga,Ana Ramírez
Jueves,9:00 am,10:00 am,Ashtanga Yoga,Alu Segovia
Jueves,7:00 pm,8:30 pm,Restaurativo + Vinyasa,Pau Ruiz
Viernes,7:30 am,8:30 am,Vinyasa Yoga,Rosa Vejar
